124,117,368.20,24.03,38.80,8.98,0.77,-1,-1,-1
125,2,241.66,390.11,62.52,13.74,0.84,-1,-1,-1
125,117,369.41,24.94,36.05,8.33,0.72,-1,-1,-1
126,2,241.08,390.19,63.08,13.92,0.85,-1,-1,-1
126,117,368.63,25.23,37.54,8.76,0.74,-1,-1,-1
127,2,242.48,390.85,60.73,13.33,0.83,-1,-1,-1
127,117,368.46,25.33,37.83,8.91,0.76,-1,-1,-1
128,2,241.36,391.09,62.47,13.77,0.84,-1,-1,-1
128,117,368.50,26.00,37.77,8.97,0.76,-1,-1,-1
129,2,241.31,391.17,63.05,13.93,0.84,-1,-1,-1
129,117,368.60,26.23,37.58,8.99,0.73,-1,-1,-1
130,2,242.60,391.84,60.66,13.34,0.84,-1,-1,-1
130,117,369.52,26.95,35.12,8.34,0.73,-1,-1,-1
131,2,243.03,392.08,59.87,13.10,0.84,-1,-1,-1
131,117,368.59,27.18,36.75,8.77,0.74,-1,-1,-1
132,2,243.11,392.15,59.74,13.02,0.84,-1,-1,-1
132,117,368.70,27.27,37.11,8.92,0.74,-1,-1,-1
133,2,241.76,392.17,62.45,13.66,0.84,-1,-1,-1
133,117,368.44,27.27,37.21,8.98,0.74,-1,-1,-1
134,2,241.33,392.16,63.33,13.89,0.84,-1,-1,-1
134,117,368.00,27.91,37.27,9.00,0.75,-1,-1,-1
135,2,241.21,392.15,63.57,13.98,0.85,-1,-1,-1
135,117,367.85,28.14,37.28,9.01,0.75,-1,-1,-1
136,2,241.22,392.14,63.55,14.01,0.85,-1,-1,-1
136,117,367.43,28.20,37.36,9.01,0.78,-1,-1,-1
137,2,241.27,392.12,63.46,14.02,0.84,-1,-1,-1
137,117,367.26,28.21,37.42,9.01,0.78,-1,-1,-1
138,2,242.60,392.76,60.80,13.37,0.84,-1,-1,-1
138,117,367.19,28.20,37.48,9.01,0.80,-1,-1,-1
139,2,243.04,393.00,59.92,13.11,0.84,-1,-1,-1
139,117,367.16,28.18,37.53,9.01,0.80,-1,-1,-1
140,2,243.51,393.08,59.65,13.02,0.84,-1,-1,-1
140,117,367.14,28.16,37.57,9.01,0.80,-1,-1,-1
141,2,243.64,393.10,59.64,12.99,0.84,-1,-1,-1
141,117,367.41,28.14,37.71,9.01,0.80,-1,-1,-1
142,2,243.64,393.10,59.72,12.98,0.84,-1,-1,-1
142,117,368.23,28.13,37.64,9.00,0.79,-1,-1,-1
143,2,243.60,393.09,59.82,12.98,0.84,-1,-1,-1
143,117,367.90,28.11,37.58,9.00,0.78,-1,-1,-1
144,2,243.84,393.08,60.02,12.98,0.85,-1,-1,-1
144,117,368.83,28.10,37.43,9.00,0.79,-1,-1,-1
145,2,243.87,393.07,60.21,12.98,0.85,-1,-1,-1
145,117,369.22,28.09,37.29,9.00,0.79,-1,-1,-1
146,2,243.83,393.06,60.38,12.98,0.85,-1,-1,-1
146,117,369.41,28.08,37.17,9.00,0.79,-1,-1,-1
147,2,244.14,393.06,60.44,12.98,0.85,-1,-1,-1
147,117,369.12,28.73,37.15,9.00,0.75,-1,-1,-1
148,2,244.24,393.05,60.50,12.99,0.85,-1,-1,-1
148,117,369.40,28.31,37.04,9.00,0.78,-1,-1,-1
149,2,244.26,393.04,60.55,12.99,0.85,-1,-1,-1
149,117,369.53,28.14,36.94,9.00,0.79,-1,-1,-1
